,the_geom,PMAID,NAME,ADDRESS,LOCID,AMWO_ID,RES1,RES2,POINT_X,POINT_Y,closest sidewalk id,closest sidewalk point
86,POINT (-122.33073847581578 47.65030415428611),3903,Sunnyside Ave N Boat Ramp,2301 N Northlake Way,,,,,1271363.63304181,240801.57495263,22924,POINT (-122.2536654423589 47.67156461734921)
87,POINT (-122.34705972071967 47.635128503091906),4421,Trolley Hill Park,1800 Taylor Ave N,,,,,1267232.71052939,235345.78829205,22924,POINT (-122.2536654423589 47.67156461734921)
88,POINT (-122.37779245595819 47.712597824804135),240,Carkeek Park,950 NW Carkeek Park Rd,,,,,1260224.15630506,263748.81219456,22924,POINT (-122.2536654423589 47.67156461734921)
89,POINT (-122.30101657131965 47.617316127733616),4426,Homer Harris Park,2401 E Howell St,,,,,1278458.57521673,228629.75218347,22924,POINT (-122.2536654423589 47.67156461734921)
90,POINT (-122.28640973898901 47.580436315448026),4019,Mt. Claire Park,2523 Mount Claire Dr S,,,,,1281806.47140805,215111.32121514,22924,POINT (-122.2536654423589 47.67156461734921)
91,POINT (-122.3363558504323 47.64531226058301),293,Gas Works Park,2101 N Northlake Way,,,,,1269943.78023848,239008.04048197,22924,POINT (-122.2536654423589 47.67156461734921)
92,POINT (-122.32259821429075 47.6356421903946),4446,I-5 Colonnade,1701 Lakeview Blvd E,,,,,1273266.15318689,235415.46630231,22924,POINT (-122.2536654423589 47.67156461734921)
93,POINT (-122.37663784206784 47.580598929098464),447,Belvedere Park,3600 SW Admiral Way,,,,,1259542.82564673,215604.13125314,22924,POINT (-122.2536654423589 47.67156461734921)
94,POINT (-122.38756197231615 47.59537096440726),445,Alki Beach Park,1702 Alki Ave SW,,,,,1256956.02865498,221045.61151189,22924,POINT (-122.2536654423589 47.67156461734921)
95,POINT (-122.28551018903752 47.6217733569565),365,Lakeview Park,340 37th Ave E,,,,,1282312.96022448,230182.75760764,22924,POINT (-122.2536654423589 47.67156461734921)
96,POINT (-122.31050627080826 47.64176913137051),376,Montlake Playfield,1618 E Calhoun St,,,,,1276289.72489564,237592.49606897,22924,POINT (-122.2536654423589 47.67156461734921)
