,id,forward,incline,layer,side,street_name,surface,width,length,v_coordinates,u_coordinates,adjacent_parks
405,9495,0.0,179,0,E,FREMONT AVE N,concrete,1.8288,66.70049735723153,"[-122.34985680356257, 47.674528031074566]","[-122.34986152128936, 47.673927906013404]",[]
406,9515,0.0,28,0,E,WALLINGFORD AVE N,concrete,1.8288,67.98310996527474,"[-122.33630853745848, 47.667163856749674]","[-122.33631360677111, 47.66655219255856]",[]
407,9588,0.0,-2,0,E,9TH AVE NE,concrete,1.8288,61.97613432849048,"[-122.31869504925903, 47.68148769312262]","[-122.3186866797785, 47.680930097685575]",[]
408,9597,1.0,38,0,W,LINDEN AVE N,concrete,1.8288,68.51235094196232,"[-122.3472933628645, 47.68409055380306]","[-122.34729260261558, 47.68470698791415]",[]
409,9632,0.0,-17,0,E,ASHWORTH AVE N,concrete,1.8288,148.19782562257635,"[-122.33894848693892, 47.67014013779353]","[-122.3389677854797, 47.668806801136896]",[]
410,9673,1.0,-33,0,NW,WINONA AVE N,concrete,1.2191999999999998,87.83168769159684,"[-122.34626880082214, 47.68203496632011]","[-122.34626333033371, 47.68203914555019]",[]
411,9680,0.0,154,0,S,N 61ST ST,concrete,1.8288,97.20067170752061,"[-122.34857230399689, 47.67309949220047]","[-122.34986713442846, 47.67310277069365]",[]
412,9686,1.0,29,0,W,LINDEN AVE N,concrete,1.8288,69.15835832551623,"[-122.3464796335585, 47.68262517586417]","[-122.34648183703104, 47.68324742092162]",[]
413,9751,0.0,-94,0,S,NE 78TH ST,concrete,1.8288,88.96459800279277,"[-122.3203121037296, 47.68525050646685]","[-122.3214974652942, 47.68525664869546]",[]
414,9772,1.0,17,0,W,ASHWORTH AVE N,concrete,1.8288,144.97269714530228,"[-122.33913381481479, 47.668837101869286]","[-122.3391149403871, 47.6701414220708]",[]
415,9796,0.0,2,0,S,N 56TH ST,concrete,1.8288,88.71498315288784,"[-122.33176446977419, 47.668917589832176]","[-122.33277490273576, 47.66861062009828]",[]
416,9799,0.0,12,0,SE,N 56TH ST,concrete,1.8288,88.29349702666697,"[-122.33054089157346, 47.66929084194391]","[-122.3316134786928, 47.66896496614532]",[]
417,9884,1.0,13,0,N,NE 71ST ST,concrete,1.2191999999999998,70.66705097286008,"[-122.32560218432631, 47.67989621445349]","[-122.3246609327802, 47.67988169174907]",[]
418,9940,1.0,13,0,W,PHINNEY AVE N,concrete,1.8288,62.945846027948,"[-122.35456480720504, 47.66645130580375]","[-122.35456122213341, 47.66701765288522]",[]
419,9950,0.0,33,0,S,N 64TH ST,concrete,1.8288,44.53880109191589,"[-122.34775319719726, 47.67526078309016]","[-122.34834652598583, 47.675263164560086]",[]
420,9953,1.0,0,0,W,MERIDIAN AVE N,concrete,1.8288,1.711105637350601,"[-122.33362774444953, 47.672978623497265]","[-122.33362758696174, 47.672994018675425]",[]
421,9954,1.0,0,0,W,MERIDIAN AVE N,concrete,1.8288,6.191823016270467,"[-122.33362831433513, 47.67292291435981]","[-122.33362774444953, 47.672978623497265]",[]
422,9975,1.0,-32,0,W,DAYTON AVE N,concrete,1.8288,69.94771231791812,"[-122.35294492600644, 47.674651475781594]","[-122.35294016570626, 47.67528081779488]",[]
423,9978,1.0,18,0,SW,WOODLAWN AVE NE,concrete,1.8288,73.01982990457802,"[-122.32764922324404, 47.68273427117045]","[-122.32835670623953, 47.683185252652336]",[]
424,9979,1.0,0,0,SW,WOODLAWN AVE NE,concrete,1.8288,6.353601918287023,"[-122.32758766430602, 47.68269503016162]","[-122.32764922324404, 47.68273427117045]",[]
425,10054,0.0,-34,0,S,N 57TH ST,concrete,1.8288,191.12518679563215,"[-122.32833011089674, 47.67006076694769]","[-122.3308758586792, 47.67007857955961]",[]
426,10084,1.0,56,0,N,N 53RD ST,concrete,1.8288,144.675113123646,"[-122.33840118320302, 47.66727747241748]","[-122.33647413947013, 47.66727636781542]",[]
427,10094,0.0,0,0,S,N 77TH ST,concrete,1.8288,6.093765748933855,"[-122.33294641262552, 47.68504335869252]","[-122.33302759625234, 47.685044288512806]",[]
428,10095,0.0,48,0,S,N 77TH ST,concrete,1.8288,93.28835544745915,"[-122.33170358763202, 47.68502911707315]","[-122.33294641262552, 47.68504335869252]",[]
429,10113,0.0,2,0,E,EAST GREEN LAKE WAY N,concrete,1.8288,55.077400067627494,"[-122.33980802621566, 47.66933562602306]","[-122.33979491200947, 47.66887844045809]",[]
