,curbramps,marked,st_pkey,street_name,geometry
128,0,0,13272,VALLEY ST,"LINESTRING (-122.3553011793269 47.62642978296497, -122.3553840405761 47.62631768077641)"
129,0,0,1032,1ST AVE N,"LINESTRING (-122.3552991954698 47.62713201892293, -122.3554655220515 47.62713252837279)"
130,0,0,1033,1ST AVE N,"LINESTRING (-122.3554648887196 47.62724496772598, -122.3552985622378 47.62724445829274)"
131,1,0,8804,ALOHA ST,"LINESTRING (-122.3554655220515 47.62713252837279, -122.3554648887196 47.62724496772598)"
132,0,0,8805,ALOHA ST,"LINESTRING (-122.3552985622378 47.62724445829274, -122.3552991954698 47.62713201892293)"
133,0,0,1033,1ST AVE N,"LINESTRING (-122.3552926679672 47.62794256063499, -122.3554584390482 47.62800913591156)"
134,1,0,1034,1ST AVE N,"LINESTRING (-122.3554574985081 47.62812157431417, -122.3552906911749 47.62817872730842)"
135,1,0,13415,WARD ST,"LINESTRING (-122.3554584390482 47.62800913591156, -122.3554574985081 47.62812157431417)"
136,0,0,1034,1ST AVE N,"LINESTRING (-122.3552867063633 47.62865928804247, -122.3554530358939 47.62865991818715)"
137,0,0,1035,1ST AVE N,"LINESTRING (-122.3554524921118 47.62877236120234, -122.3552861595668 47.62877225996608)"
138,1,0,12270,PROSPECT ST,"LINESTRING (-122.3554530358939 47.62865991818715, -122.3554524921118 47.62877236120234)"
139,0,0,1035,1ST AVE N,"LINESTRING (-122.3552860084795 47.62888556098279, -122.3554523415043 47.62888566214039)"
140,0,0,1036,1ST AVE N,"LINESTRING (-122.3554518852431 47.62899851603786, -122.3552855535966 47.62899800115554)"
141,0,0,12271,PROSPECT ST,"LINESTRING (-122.3552855535966 47.62899800115554, -122.3552860084795 47.62888556098279)"
142,0,0,1036,1ST AVE N,"LINESTRING (-122.3552838109137 47.6292551725133, -122.3554491766473 47.62939845096223)"
143,0,0,1037,1ST AVE N,"LINESTRING (-122.355447327205 47.62958064676271, -122.3552824364866 47.62944706153258)"
